6685,#NAME?,n,blue,,
12333,#NAME?,n,green,,
18125,#NAME?,n,rose,,
1142,#NAME?,n,yellow,,
4932,6rf.-green,n,green,,
10276,Beech-russet,c,russet,,
698,Fiddler's-green,y,,,
3151,Lead-colored,y,,,
4928,Turkey-red,n,red,,
4497,a-black,n,black,,
16981,a-brown,n,brown,,
3286,a-navy,n,navy,,
18587,a-ose-colored,n,rose-colored,,
12040,a-red,n,red,,
13779,a-rosy,n,rosy,,
585,a-salmon,n,salmon,,
11913,absinthe-colored,y,,,
15668,ad-colored,n,,,
3860,ale-colored,y,,,
6271,all-black,n,black,,
13235,all-blue,n,blue,,
13222,all-colored,n,,,
8913,all-golden,n,golden,,
13964,all-pink,n,pink,,
14102,all-white,n,white,,
9400,almond-colored,y,,,
5518,almond-white,c,white,,
15572,and-green,n,green,,
437,and-tan,n,tan,,
4711,and-white,n,white,,
4243,angry-colored,n,,m,
12483,ankle-bone,n,,,
9760,answe-red,n,,,
5441,apple-blossom-colored,y,,,
14660,apple-gray,c,gray,,
15560,apple-green,c,green,,
10524,apple-red,c,red,,
13632,arcel-gilt,n,gilt,,
19506,arial-gray,c,gray,,
11254,arm-bone,n,,,
3754,artist's-color,n,,,
2598,ash-blue,c,blue,,
990,ash-brown,c,brown,,
2273,ash-color,y,,,
9087,ash-colored,y,,,
2502,ash-gray,c,gray,,
13285,ash-green,c,green,,
1959,ash-white,c,white,,
15840,ashen-brown,y,,,
387,ashen-colored,y,,,
7707,ashen-gray,y,,,
17941,ashen-white,y,,,
8810,ashy-brown,c,brown,,
16907,ashy-gray,c,gray,,
9971,ashy-livid,c,livid,,
8707,ashy-white,c,white,,
3488,ashy-yellow,c,yellow,,
15631,atta-of-rose,n,,,
10623,attar-of-rose,n,,,
226,autumn-colored,n,,m,
16803,autumnal-brown,c,brown,,
14338,aventurine-colored,y,,,
14204,azm'e-blue,n,azure-blue,,
18612,azure-emerald,y,,,
11423,back-bone,n,,,
16939,back-green,n,green,,
18426,back-wheat,n,,,
5651,bad-colored,n,,m,
4184,badger-colored,y,,,
13878,badly-gilt,n,gilt,,
6197,bamboo-colored,y,,,
17390,bare-bone,n,,,
8186,bark-colored,y,,,
