Name,Base color,Basic/Elaborate,"Kind of term (abstract [hue: red, purple, black], object-sensitive (adjectives that compare to an object) [rosy, silvery, tawny, pearly, ruddy], concrete (could be noun or verb, that serves as color name and adjective [amber, orange, olive, ruby])",Could be an object?
pistache,green,elaborate,concrete,
pistachio,green,elaborate,concrete,y
platinum,white,elaborate,concrete,y
plum,purple,elaborate,concrete,y
poppy red,red,elaborate,object-sensitive,
powder blue,blue,elaborate,abstract,
primrose-yellow,yellow,elaborate,object-sensitive,y
Prussian blue,blue,elaborate,abstract,
puce,purple,elaborate,abstract,
purple,purple,basic,abstract,
purpler,purple,basic,abstract,
purplest,purple,basic,abstract,
purplish,purple,basic,abstract,
purply,purple,basic,abstract,
red,red,basic,abstract,
red brown,brown,elaborate,abstract,
redden,red,elaborate,abstract,
redder,red,elaborate,abstract,
reddest,red,elaborate,abstract,
reddish,red,elaborate,abstract,
reddy,red,elaborate,abstract,
red-gold,yellow,elaborate,object-sensitive,
rose,pink,elaborate,concrete,y
roseate,red,elaborate,abstract,
rose-pink,pink,elaborate,object-sensitive,
rose-red,red,elaborate,object-sensitive,
rosy,red,elaborate,object-sensitive,
rouge,red,elaborate,concrete,y
rubicund,red,elaborate,concrete,
ruby,red,elaborate,concrete,y
ruddy,red,elaborate,object-sensitive,
russet,red,elaborate,abstract,
rust,red,elaborate,concrete,y
saffron,yellow,elaborate,concrete,y
salmon,orange,elaborate,concrete,y
sanguine,red,elaborate,abstract,
sapphire,blue,elaborate,concrete,y
scarlet,red,elaborate,abstract,
sea blue,blue,elaborate,object-sensitive,
sea green,green,elaborate,object-sensitive,
seashell,white,elaborate,concrete,y
sepia,brown,elaborate,abstract,
shadow,gray,elaborate,concrete,y
sienna,brown,elaborate,concrete,
silver,gray,elaborate,concrete,y
silvery,white,elaborate,object-sensitive,
slate-gray,gray,elaborate,object-sensitive,
sky-blue,blue,elaborate,object-sensitive,
snail green,green,elaborate,object-sensitive,
snow white,white,elaborate,object-sensitive,
soot black,black,elaborate,object-sensitive,
steel blue,blue,elaborate,object-sensitive,
strawberry,red,elaborate,concrete,y
sulphur-yellow,yellow,elaborate,object-sensitive,
tan,brown,elaborate,abstract,
tangerine,orange,elaborate,concrete,y
taupe,brown,elaborate,abstract,
tawny,brown,elaborate,object-sensitive,
teal,green,elaborate,abstract,
terra cotta,brown,elaborate,concrete,y
topaz,yellow,elaborate,concrete,y
turquoise,blue,elaborate,concrete,y
turquoise-blue,blue,elaborate,object-sensitive,
Tyrian-purple,purple,elaborate,abstract,
ultramarine,blue,elaborate,abstract,
umber,brown,elaborate,concrete,
Vandyke-brown,brown,elaborate,abstract,
vanilla,white,elaborate,concrete,y
