color_name,period,absolute_freq,relative_freq,absolute_freq_threshold,relative_freq_threshold
black,1800,1314,8.9006076459742,1,0.006773674007590715
white,1800,1123,7.606835910524373,1,0.006773674007590715
rose,1800,893,6.048890888778509,1,0.006773674007590715
blue,1800,570,3.8609941843267075,1,0.006773674007590715
red,1800,558,3.7797100962356187,1,0.006773674007590715
green,1800,530,3.5900472240230785,1,0.006773674007590715
golden,1800,405,2.7433379730742393,1,0.006773674007590715
gray,1800,399,2.702695929028695,1,0.006773674007590715
sanguine,1800,389,2.634959188952788,1,0.006773674007590715
gold,1800,373,2.5265804048313365,1,0.006773674007590715
crimson,1800,319,2.160802008421438,1,0.006773674007590715
silver,1800,315,2.133707312391075,1,0.006773674007590715
brown,1800,166,1.1244298852600585,1,0.006773674007590715
yellow,1800,160,1.0837878412145143,1,0.006773674007590715
purple,1800,139,0.9415406870551093,1,0.006773674007590715
rosy,1800,127,0.8602565989640207,1,0.006773674007590715
scarlet,1800,119,0.806067206903295,1,0.006773674007590715
gilded,1800,105,0.711235770797025,1,0.006773674007590715
livid,1800,100,0.6773674007590714,1,0.006773674007590715
shadow,1800,89,0.6028569866755736,1,0.006773674007590715
violet,1800,88,0.5960833126679829,1,0.006773674007590715
navy,1800,80,0.5418939206072572,1,0.006773674007590715
ruddy,1800,76,0.5147992245768943,1,0.006773674007590715
azure,1800,74,0.5012518765617129,1,0.006773674007590715
orange,1800,73,0.49447820255412217,1,0.006773674007590715
dun,1800,71,0.4809308545389407,1,0.006773674007590715
auburn,1800,68,0.4606098325161686,1,0.006773674007590715
gilt,1800,59,0.39964676644785213,1,0.006773674007590715
ivory,1800,53,0.3590047224023079,1,0.006773674007590715
tawny,1800,51,0.3454573743871264,1,0.006773674007590715
blacken,1800,49,0.331910026371945,1,0.006773674007590715
pearly,1800,48,0.3251363523643543,1,0.006773674007590715
pink,1800,47,0.3183626783567636,1,0.006773674007590715
blackest,1800,44,0.29804165633399143,1,0.006773674007590715
redden,1800,41,0.2777206343112193,1,0.006773674007590715
silvery,1800,40,0.2709469603036286,1,0.006773674007590715
olive,1800,33,0.2235312422504936,1,0.006773674007590715
coral,1800,32,0.21675756824290288,1,0.006773674007590715
cream,1800,31,0.20998389423531214,1,0.006773674007590715
ebony,1800,29,0.1964365462201307,1,0.006773674007590715
flaxen,1800,28,0.18966287221254,1,0.006773674007590715
roseate,1800,28,0.18966287221254,1,0.006773674007590715
vermilion,1800,27,0.18288919820494928,1,0.006773674007590715
lime,1800,26,0.17611552419735857,1,0.006773674007590715
snow-white,1800,26,0.17611552419735857,1,0.006773674007590715
fawn,1800,25,0.16934185018976786,1,0.006773674007590715
jet,1800,25,0.16934185018976786,1,0.006773674007590715
brick,1800,19,0.12869980614422358,1,0.006773674007590715
hazel,1800,19,0.12869980614422358,1,0.006773674007590715
honey,1800,19,0.12869980614422358,1,0.006773674007590715
rose-colored,1800,19,0.12869980614422358,1,0.006773674007590715
ruby,1800,19,0.12869980614422358,1,0.006773674007590715
milk-white,1800,17,0.11515245812904215,1,0.006773674007590715
tan,1800,17,0.11515245812904215,1,0.006773674007590715
alabaster,1800,16,0.10837878412145144,1,0.006773674007590715
cherry,1800,16,0.10837878412145144,1,0.006773674007590715
mahogany,1800,16,0.10837878412145144,1,0.006773674007590715
pearl,1800,16,0.10837878412145144,1,0.006773674007590715
rust,1800,15,0.10160511011386072,1,0.006773674007590715
bronze,1800,14,0.09483143610627,1,0.006773674007590715
teal,1800,14,0.09483143610627,1,0.006773674007590715
russet,1800,13,0.08805776209867928,1,0.006773674007590715
bluish,1800,12,0.08128408809108857,1,0.006773674007590715
lavender,1800,12,0.08128408809108857,1,0.006773674007590715
claret,1800,11,0.07451041408349786,1,0.006773674007590715
plum,1800,11,0.07451041408349786,1,0.006773674007590715
amber,1800,10,0.06773674007590715,1,0.006773674007590715
copper,1800,10,0.06773674007590715,1,0.006773674007590715
whiter,1800,10,0.06773674007590715,1,0.006773674007590715
emerald,1800,9,0.06096306606831644,1,0.006773674007590715
blood-red,1800,8,0.05418939206072572,1,0.006773674007590715
bone,1800,8,0.05418939206072572,1,0.006773674007590715
chestnut,1800,8,0.05418939206072572,1,0.006773674007590715
lilac,1800,8,0.05418939206072572,1,0.006773674007590715
peach,1800,8,0.05418939206072572,1,0.006773674007590715
rouge,1800,8,0.05418939206072572,1,0.006773674007590715
sky-blue,1800,8,0.05418939206072572,1,0.006773674007590715
many-colored,1800,7,0.047415718053135,1,0.006773674007590715
blacker,1800,6,0.040642044045544286,1,0.006773674007590715
ginger,1800,6,0.040642044045544286,1,0.006773674007590715
grayish,1800,6,0.040642044045544286,1,0.006773674007590715
lemon,1800,6,0.040642044045544286,1,0.006773674007590715
nut-brown,1800,6,0.040642044045544286,1,0.006773674007590715
wheat,1800,6,0.040642044045544286,1,0.006773674007590715
chocolate,1800,5,0.03386837003795357,1,0.006773674007590715
milky,1800,5,0.03386837003795357,1,0.006773674007590715
whiten,1800,5,0.03386837003795357,1,0.006773674007590715
aqua,1800,4,0.02709469603036286,1,0.006773674007590715
cerulean,1800,4,0.02709469603036286,1,0.006773674007590715
charcoal,1800,4,0.02709469603036286,1,0.006773674007590715
coal-black,1800,4,0.02709469603036286,1,0.006773674007590715
cream-colored,1800,4,0.02709469603036286,1,0.006773674007590715
dark-colored,1800,4,0.02709469603036286,1,0.006773674007590715
